供应商名称,商品名称,生产厂家,销售价,有效期,规格,销量
帝豪旗舰店,德众 维C银翘片,国药集团德众(佛山)药业有限公司,4.20,2021-05-13,12片,44011
帝豪旗舰店,石药 阿莫西林胶囊,石药集团中诺药业(石家庄)有限公司,5.40,2021-11-05,0.25g*50粒,63522
帝豪旗舰店,漳州片仔癀 牛黄解毒片,漳州片仔癀药业股份有限公司,5.43,2021-06-07,0.3g*48片,5050
帝豪旗舰店,诺金 百合固金片,广州诺金制药有限公司,9.90,2021-04-30,0.4g*30片,9103
帝豪旗舰店,白云山 金戈 枸橼酸西地那非片,广州白云山医药集团股份有限公司白云山制药总厂,193.00,2021-10-31,50mg*10片,6513
帝豪旗舰店,广西金嗓子 金嗓子喉片,广西金嗓子有限责任公司,13.57,2021-12-31,2g*16片,6879
帝豪旗舰店,中一 胃乃安胶囊,广州白云山中一药业有限公司,16.90,2020-05-31,0.3G*36粒,0
帝豪旗舰店,恒健 红霉素软膏,广东恒健制药有限公司,1.58,2022-01-22,10g,10183
帝豪旗舰店,双药 人工牛黄甲硝唑胶囊,吉林双药药业集团有限公司,2.13,2021-12-31,12粒,19491
帝豪旗舰店,哈尔滨圣泰 小儿热速清颗粒,哈尔滨圣泰生物制药有限公司,6.40,2021-04-30,2g*6袋,57535
帝豪旗舰店,比特力 盐酸西替利嗪片,成都恒瑞制药有限公司,3.09,2020-11-07,10mg*6片,26461
帝豪旗舰店,达克宁 硝酸咪康唑栓,西安杨森制药有限公司,20.68,2023-10-31,0.2g*7枚,5981
帝豪旗舰店,盐酸左氧氟沙星滴眼液,广东宏盈科技有限公司,2.19,2020-10-27,5ml,105695
帝豪旗舰店,半边天 乌鸡白凤丸,江西半边天药业有限公司,20.00,2020-12-31,6g*20袋,10918
